From	To
Q8NEM1	ENSG00000173041.12
Q9Y496	ENSG00000131437.16
Q6ZWJ1	ENSG00000166263.13
Q8TAM1	ENSG00000179941.9
A0A0J9YXM7	ENSG00000282215.1
A0A0J9YXM7	ENSG00000282173.1
Q8NEX6	ENSG00000180083.11
Q8IY50	ENSG00000183780.13
P57723	ENSG00000090097.22
Q8N567	ENSG00000131732.12
Q96EY1	ENSG00000103423.14
Q96EY1	ENSG00000276726.4
P35321	ENSG00000169474.5
Q9Y6A4	ENSG00000070761.8
Q7Z5J1	ENSG00000167733.14
Q5JTN6	ENSG00000136918.8
P02795	ENSG00000125148.7
Q9BWM5	ENSG00000083817.9
Q15038	ENSG00000183283.16
Q2M296	ENSG00000103248.19
P10071	ENSG00000106571.15
Q8IWW6	ENSG00000165322.18
Q8NCR3	ENSG00000166323.13
P49356	ENSG00000257365.8
Q9BYJ4	ENSG00000258659.7
Q9UIK5	ENSG00000144339.12
Q9NR16	ENSG00000177675.9
Q96SW2	ENSG00000113851.16
Q9H4M3	ENSG00000132879.14
A0A0A0MTA7	ENSG00000211764.1
A0A0A0MTA7	ENSG00000282488.1
P86479	ENSG00000229665.8
Q96P47	ENSG00000133612.20
O43572	ENSG00000108599.15
O15121	ENSG00000143753.14
P07910	ENSG00000092199.19
Q8NA92	ENSG00000161277.11
P63092	ENSG00000087460.29
P54829	ENSG00000110786.18
O60284	ENSG00000147488.13
Q9GZN6	ENSG00000063127.16
O14521	ENSG00000204370.14
Q15475	ENSG00000126778.12
P46379	ENSG00000204463.14
P46379	ENSG00000096155.15
P46379	ENSG00000229524.10
P46379	ENSG00000233348.10
P46379	ENSG00000227761.10
P46379	ENSG00000228760.10
P46379	ENSG00000234651.10
Q6HA08	ENSG00000188886.4
Q8N2M8	ENSG00000104859.15
Q6ZN57	ENSG00000198939.8
Q13621	ENSG00000074803.21
Q03393	ENSG00000150787.8
Q9H9D4	ENSG00000175213.3
Q6P280	ENSG00000186020.13
Q9H2U1	ENSG00000174953.14
Q96NW4	ENSG00000105186.16
A0A0B4J274	ENSG00000211800.3
P02790	ENSG00000110169.12
P11511	ENSG00000137869.16
P37235	ENSG00000115756.13
Q96ED9	ENSG00000095066.12
Q8NH03	ENSG00000196539.3
Q8NH03	ENSG00000277113.2
Q8NH03	ENSG00000278377.1
Q8NH03	ENSG00000292005.1
Q18PE1	ENSG00000175920.18
A8MUM7	ENSG00000249861.4
P31947	ENSG00000175793.12
P28335	ENSG00000147246.10
P49913	ENSG00000164047.6
Q9Y236	ENSG00000164823.11
Q9NWL6	ENSG00000138381.10
Q14814	ENSG00000116604.19
Q14814	ENSG00000291761.1
Q8TCB7	ENSG00000206562.12
Q6MZW2	ENSG00000053108.18
Q9UHN6	ENSG00000135048.14
O94901	ENSG00000164828.18
Q9P2C4	ENSG00000146433.11
Q96G23	ENSG00000143418.20
Q7L1I2	ENSG00000185518.12
Q9P2S2	ENSG00000110076.21
Q8WTR2	ENSG00000162999.13
Q5VZV1	ENSG00000139780.8
Q5TF58	ENSG00000169991.11
P43360	ENSG00000197172.11
P43360	ENSG00000292195.1
Q8TEY5	ENSG00000143578.16
Q2M3G0	ENSG00000004846.17
Q6I9Y2	ENSG00000163634.12
Q15125	ENSG00000147155.11
Q8TD16	ENSG00000185963.14
Q01534	ENSG00000258992.7
Q96LZ7	ENSG00000115841.21
P11230	ENSG00000170175.11
P11230	ENSG00000283946.2
Q15884	ENSG00000135063.20
Q6IPW1	ENSG00000180425.11
Q99490	ENSG00000135439.12
Q9HBJ8	ENSG00000147003.7
P26441	ENSG00000242689.3
Q13523	ENSG00000112739.17
O00559	ENSG00000147654.16
Q15834	ENSG00000175602.4
