pert_id,uniprot_id,inchi_key,assay_value,binding,atc_agonist,atc_inhibitor
BRD-A00546892,P08912,YSXKPIUOCJLQIE-UHFFFAOYSA-N,6.3,True,True,False
BRD-A00546892,P11229,YSXKPIUOCJLQIE-UHFFFAOYSA-N,1.419999994635582,True,True,False
BRD-A00546892,P20309,YSXKPIUOCJLQIE-UHFFFAOYSA-N,4.925,True,True,False
BRD-A00993607,P07550,PAZJSJFMUHDSTF-UHFFFAOYSA-N,9.237104545454546,True,True,False
BRD-A00993607,P08588,PAZJSJFMUHDSTF-UHFFFAOYSA-N,7.0036000000000005,True,True,False
BRD-A01295252,P35462,RTMIJLQPWFKAFE-FPYGCLRLSA-N,1.85,True,,
BRD-A01493904,P08908,GYSZUJHYXCZAKI-UHFFFAOYSA-N,2.089,True,,
BRD-A01976766,P48039,JXSJBGJIGXNWCI-UHFFFAOYSA-N,0.29,True,False,False
BRD-A01999384,P27815,CLVUZWSRQXKIEX-UHFFFAOYSA-N,7.1,True,,
BRD-A02006392,O60840,PVHUJELLJLJGLN-UHFFFAOYSA-N,7.875,True,False,False
BRD-A02006392,Q01668,PVHUJELLJLJGLN-UHFFFAOYSA-N,7.017999982833862,True,False,False
BRD-A02006392,Q13698,PVHUJELLJLJGLN-UHFFFAOYSA-N,7.875,True,False,False
BRD-A02006392,Q13936,PVHUJELLJLJGLN-UHFFFAOYSA-N,5.335,True,False,False
BRD-A02990301,P08913,KSMAGQUYOIHWFS-UHFFFAOYSA-N,5.3375,True,True,False
BRD-A03359064,P08588,HTLWRKRZKFAAAH-UHFFFAOYSA-N,0.936436625,True,,
BRD-A04260165,P21728,JXMYTVOBSFOHAF-UHFFFAOYSA-N,0.783750000745058,True,,
BRD-A04322457,P25100,JWZZKOKVBUJMES-UHFFFAOYSA-N,1.5,True,True,False
BRD-A04322457,P35348,JWZZKOKVBUJMES-UHFFFAOYSA-N,1.5,True,True,False
BRD-A04322457,P35368,JWZZKOKVBUJMES-UHFFFAOYSA-N,1.5,True,True,False
BRD-A04438777,P21728,HJWHHQIVUHOBQN-UHFFFAOYSA-N,8.09125,True,,
BRD-A05352148,P08912,OEXHQOGQTVQTAT-UHFFFAOYSA-N,1.37,True,,
BRD-A05352148,P20309,OEXHQOGQTVQTAT-UHFFFAOYSA-N,0.9057499999999999,True,,
BRD-A06784547,P0DMS8,QFLOJAMZLQXHFS-UHFFFAOYSA-N,2.0181725,True,,
BRD-A07232941,P49286,RVIGBTUDFAGRTQ-UHFFFAOYSA-N,1.74,True,,
BRD-A07440155,P07550,SGUAFYQXFOLMHL-UHFFFAOYSA-N,7.181749999999999,True,True,False
BRD-A07440155,P08588,SGUAFYQXFOLMHL-UHFFFAOYSA-N,7.181749999999999,True,True,False
BRD-A07440155,P13945,SGUAFYQXFOLMHL-UHFFFAOYSA-N,7.181749999999999,True,True,False
BRD-A07932845,P28221,RLJFTICUTYVZDG-UHFFFAOYSA-N,5.816666666666666,True,,
BRD-A07932845,P28222,RLJFTICUTYVZDG-UHFFFAOYSA-N,9.628333333333332,True,,
BRD-A07932845,P28335,RLJFTICUTYVZDG-UHFFFAOYSA-N,1.7299999999999998,True,,
BRD-A07932845,P34969,RLJFTICUTYVZDG-UHFFFAOYSA-N,3.42214,True,,
BRD-A07932845,P41595,RLJFTICUTYVZDG-UHFFFAOYSA-N,1.4033333333333333,True,,
BRD-A09056319,P25100,WNMJYKCGWZFFKR-UHFFFAOYSA-N,9.920666666666667,True,True,False
BRD-A09828896,P21918,GHWJEDJMOVUXEC-UHFFFAOYSA-N,1.4,True,,
BRD-A10967948,A5X5Y0,MFWNKCLOYSRHCJ-UHFFFAOYSA-N,8.741966666666666,True,,
BRD-A10967948,Q70Z44,MFWNKCLOYSRHCJ-UHFFFAOYSA-N,8.741966666666666,True,,
BRD-A10967948,Q8WXA8,MFWNKCLOYSRHCJ-UHFFFAOYSA-N,8.741966666666666,True,,
BRD-A10977446,P07550,OGHNVEJMJSYVRP-UHFFFAOYSA-N,0.6475000000000001,True,True,False
BRD-A10977446,P08588,OGHNVEJMJSYVRP-UHFFFAOYSA-N,1.7,True,True,False
BRD-A12896037,P28223,DCSUBABJRXZOMT-UHFFFAOYSA-N,6.169999999999999,True,False,False
BRD-A12994259,Q16531,UVSMNLNDYGZFPF-UHFFFAOYSA-N,9.0,True,False,False
BRD-A13188892,P25100,RUZYUOTYCVRMRZ-UHFFFAOYSA-N,2.0361714319092887,True,True,False
BRD-A13188892,P35348,RUZYUOTYCVRMRZ-UHFFFAOYSA-N,4.8599111111640925,True,True,False
BRD-A13188892,P35368,RUZYUOTYCVRMRZ-UHFFFAOYSA-N,1.5885142890521458,True,True,False
BRD-A14208071,P08173,GFRUPHOKLBPHTQ-UHFFFAOYSA-N,0.144999995827675,True,True,False
BRD-A14395271,P21917,SLVMESMUVMCQIY-UHFFFAOYSA-N,9.1,True,True,False
BRD-A14395271,P35348,SLVMESMUVMCQIY-UHFFFAOYSA-N,2.0,True,True,False
BRD-A14395271,P35367,SLVMESMUVMCQIY-UHFFFAOYSA-N,1.8050000000000002,True,True,False
BRD-A14566392,P08912,STECJAGHUSJQJN-UHFFFAOYSA-N,2.07,True,True,False
BRD-A14566392,P20309,STECJAGHUSJQJN-UHFFFAOYSA-N,0.44,True,True,False
BRD-A14574269,P17787,TVSNVPGPFGAKPT-UHFFFAOYSA-N,3.3275,True,,
BRD-A14574269,P32297,TVSNVPGPFGAKPT-UHFFFAOYSA-N,6.5,True,,
BRD-A14574269,P43681,TVSNVPGPFGAKPT-UHFFFAOYSA-N,0.155,True,,
BRD-A14969012,P21728,HLNOXCRCYMOMLA-UHFFFAOYSA-N,1.21,True,,
BRD-A15010982,P21554,SSQJFGMEZBFMNV-XJDOXCRVSA-N,0.72,True,,
BRD-A15010982,P34972,SSQJFGMEZBFMNV-XJDOXCRVSA-N,0.22,True,,
BRD-A15131297,P12821,XPCFTKFZXHTYIP-UHFFFAOYSA-N,1.7,True,,
BRD-A16347691,P22303,AGBQKNBQESQNJD-UHFFFAOYSA-N,1.0,True,False,False
